maximum_stage 9
hash_dist_unit 49
salu 21
map_ram 42
sram 0
tcam 0
                            [hashDistUnitVar]  1  2  3  4  5  6  7  8  9
------------------------------------------------------------------------
                             sampling_1_table  1  0  0  0  0  0  0  0  0
                                res_1_1_table  0  0  0  0  0  0  0  1  0
                                res_1_2_table  0  0  0  0  0  0  0  1  0
                                res_1_3_table  0  0  0  0  0  0  0  1  0
                          sketching_1_1_table  0  0  0  0  0  0  0  0  1
                          sketching_1_2_table  0  0  0  0  0  0  0  0  1
                          sketching_1_3_table  0  0  0  0  0  0  0  0  1
                             sampling_2_table  0  1  0  0  0  0  0  0  0
                                res_2_1_table  0  1  0  0  0  0  0  0  0
                                res_2_2_table  0  0  0  0  0  0  1  0  0
                                res_2_3_table  1  0  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  0  0  1
                          sketching_2_2_table  0  0  0  0  0  0  0  1  0
                          sketching_2_3_table  0  0  0  0  0  0  0  1  0
                             sampling_3_table  0  0  1  0  0  0  0  0  0
                                res_3_1_table  1  0  0  0  0  0  0  0  0
                                res_3_2_table  1  0  0  0  0  0  0  0  0
                                res_3_3_table  1  0  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  1  0  0  0  0  0  0
                          sketching_3_2_table  0  0  1  0  0  0  0  0  0
                          sketching_3_3_table  0  0  1  0  0  0  0  0  0
                             sampling_4_table  0  0  0  1  0  0  0  0  0
                                res_4_1_table  1  0  0  0  0  0  0  0  0
                                res_4_2_table  0  0  1  0  0  0  0  0  0
                                res_4_3_table  0  0  1  0  0  0  0  0  0
                          sketching_4_1_table  0  0  0  1  0  0  0  0  0
                          sketching_4_2_table  0  0  0  1  0  0  0  0  0
                          sketching_4_3_table  0  0  0  1  0  0  0  0  0
                             sampling_5_table  0  0  0  0  1  0  0  0  0
                                res_5_1_table  0  0  0  1  0  0  0  0  0
                                res_5_2_table  0  1  0  0  0  0  0  0  0
                                res_5_3_table  0  0  0  1  0  0  0  0  0
                          sketching_5_1_table  0  0  0  0  1  0  0  0  0
                          sketching_5_2_table  0  0  0  0  1  0  0  0  0
                          sketching_5_3_table  0  0  0  0  1  0  0  0  0
                             sampling_6_table  0  0  0  0  0  1  0  0  0
                                res_6_1_table  0  0  0  0  1  0  0  0  0
                                res_6_2_table  0  0  0  0  1  0  0  0  0
                                res_6_3_table  0  1  0  0  0  0  0  0  0
                          sketching_6_1_table  0  0  0  0  0  1  0  0  0
                          sketching_6_2_table  0  0  0  0  0  1  0  0  0
                          sketching_6_3_table  0  0  0  0  0  1  0  0  0
                             sampling_7_table  0  0  0  0  0  0  1  0  0
                                res_7_1_table  0  1  0  0  0  0  0  0  0
                                res_7_2_table  0  0  0  0  0  1  0  0  0
                                res_7_3_table  0  0  0  0  0  1  0  0  0
                          sketching_7_1_table  0  0  0  0  0  0  1  0  0
                          sketching_7_2_table  0  0  0  0  0  0  1  0  0
                          sketching_7_3_table  0  0  0  0  0  0  1  0  0
                                 _condition_0  0  0  0  0  0  0  0  0  0
                                 _condition_1  0  0  0  0  0  0  0  0  0
                                 _condition_2  0  0  0  0  0  0  0  0  0
                                 _condition_3  0  0  0  0  0  0  0  0  0
                                 _condition_4  0  0  0  0  0  0  0  0  0
                                 _condition_5  0  0  0  0  0  0  0  0  0
------------------------------------------------------------------------
                  [hashDistUnitVar] TOTAL SUM  6  5  6  6  6  6  5  5  4
------------------------------------------------------------------------

                                    [saluVar]  1  2  3  4  5  6  7  8  9
------------------------------------------------------------------------
                             sampling_1_table  0  0  0  0  0  0  0  0  0
                                res_1_1_table  0  0  0  0  0  0  0  0  0
                                res_1_2_table  0  0  0  0  0  0  0  0  0
                                res_1_3_table  0  0  0  0  0  0  0  0  0
                          sketching_1_1_table  0  0  0  0  0  0  0  0  1
                          sketching_1_2_table  0  0  0  0  0  0  0  0  1
                          sketching_1_3_table  0  0  0  0  0  0  0  0  1
                             sampling_2_table  0  0  0  0  0  0  0  0  0
                                res_2_1_table  0  0  0  0  0  0  0  0  0
                                res_2_2_table  0  0  0  0  0  0  0  0  0
                                res_2_3_table  0  0  0  0  0  0  0  0  0
                          sketching_2_1_table  0  0  0  0  0  0  0  0  1
                          sketching_2_2_table  0  0  0  0  0  0  0  1  0
                          sketching_2_3_table  0  0  0  0  0  0  0  1  0
                             sampling_3_table  0  0  0  0  0  0  0  0  0
                                res_3_1_table  0  0  0  0  0  0  0  0  0
                                res_3_2_table  0  0  0  0  0  0  0  0  0
                                res_3_3_table  0  0  0  0  0  0  0  0  0
                          sketching_3_1_table  0  0  1  0  0  0  0  0  0
                          sketching_3_2_table  0  0  1  0  0  0  0  0  0
                          sketching_3_3_table  0  0  1  0  0  0  0  0  0
                             sampling_4_table  0  0  0  0  0  0  0  0  0
                                res_4_1_table  0  0  0  0  0  0  0  0  0
                                res_4_2_table  0  0  0  0  0  0  0  0  0
                                res_4_3_table  0  0  0  0  0  0  0  0  0
                          sketching_4_1_table  0  0  0  1  0  0  0  0  0
                          sketching_4_2_table  0  0  0  1  0  0  0  0  0
                          sketching_4_3_table  0  0  0  1  0  0  0  0  0
                             sampling_5_table  0  0  0  0  0  0  0  0  0
                                res_5_1_table  0  0  0  0  0  0  0  0  0
                                res_5_2_table  0  0  0  0  0  0  0  0  0
                                res_5_3_table  0  0  0  0  0  0  0  0  0
                          sketching_5_1_table  0  0  0  0  1  0  0  0  0
                          sketching_5_2_table  0  0  0  0  1  0  0  0  0
                          sketching_5_3_table  0  0  0  0  1  0  0  0  0
                             sampling_6_table  0  0  0  0  0  0  0  0  0
                                res_6_1_table  0  0  0  0  0  0  0  0  0
                                res_6_2_table  0  0  0  0  0  0  0  0  0
                                res_6_3_table  0  0  0  0  0  0  0  0  0
                          sketching_6_1_table  0  0  0  0  0  1  0  0  0
                          sketching_6_2_table  0  0  0  0  0  1  0  0  0
                          sketching_6_3_table  0  0  0  0  0  1  0  0  0
                             sampling_7_table  0  0  0  0  0  0  0  0  0
                                res_7_1_table  0  0  0  0  0  0  0  0  0
                                res_7_2_table  0  0  0  0  0  0  0  0  0
                                res_7_3_table  0  0  0  0  0  0  0  0  0
                          sketching_7_1_table  0  0  0  0  0  0  1  0  0
                          sketching_7_2_table  0  0  0  0  0  0  1  0  0
                          sketching_7_3_table  0  0  0  0  0  0  1  0  0
                                 _condition_0  0  0  0  0  0  0  0  0  0
                                 _condition_1  0  0  0  0  0  0  0  0  0
                                 _condition_2  0  0  0  0  0  0  0  0  0
                                 _condition_3  0  0  0  0  0  0  0  0  0
                                 _condition_4  0  0  0  0  0  0  0  0  0
