[23106574, 443]
[66868280, 4104]
[731118645, 54379]
[378506529, 58604]
[3327712048, 22617]
[1875764457, 47104]
[23111660, 443]
[1875764466, 20967]
[3547001404, 56091]
[370091699, 21598]
[736915713, 33434]
[1122982160, 50637]
[1225229370, 47095]
[1146270436, 23]
[1714138584, 80]
[3326272533, 34542]
[3548025872, 38491]
[1875764470, 60315]
[112249905, 56739]
[18957111, 5242]
[281233191, 59007]
[19060200, 30000]
[1875764311, 15478]
[1099793570, 9050]
[2579574402, 52347]
[731105611, 80]
[2846871087, 54112]
[369107292, 63591]
[66967012, 443]
[2579574609, 9050]
[1156179191, 55544]
[736927094, 80]
[2159306876, 44619]
[1225192251, 41331]
[3547001406, 49647]
[23426194, 80]
[100430595, 500]
[371290862, 53413]
[1875764410, 44198]
[1864747151, 46284]
[2847216143, 61137]
[1080023073, 39324]
[1760528529, 52556]
[3547001404, 36065]
[373044080, 53413]
[3504996255, 49624]
[1257166486, 53729]
[1225165801, 57550]
[2579592678, 58843]
[3693443920, 49686]
[380661763, 5900]
[24930284, 443]
[1264216460, 8851]
[2579574390, 33371]
[18914444, 80]
[1797233327, 443]
[369149278, 53413]
[1176304110, 43792]
[99862729, 80]
[737148354, 443]
[1121492926, 5420]
[1264216460, 9334]
[1274238844, 6881]
[3547001370, 54407]
[2445101343, 6881]
[23106245, 443]
[3530299929, 56684]
[300601250, 50869]
[16840307, 8080]
[24909641, 443]
[23118041, 443]
[1257175504, 53]
[1264216460, 60968]
[23107319, 443]
[379134100, 36881]
[377573751, 123]
[3326272515, 41238]
[3625048555, 36057]
[1711327178, 443]
[1274539225, 33899]
[372709895, 45625]
[3625048567, 48012]
[731118800, 52020]
[655700913, 54659]
[22698578, 443]
[300601235, 43937]
[1227510788, 15137]
[2579574743, 64913]
[1760528624, 54233]
[3326272515, 54805]
[1763286494, 29036]
[378710775, 31331]
[25122943, 80]
[1176316187, 49383]
[1264216460, 16755]
[2579620751, 10388]
[2439501690, 80]
[1760530260, 43212]
[112260096, 49671]
[3524697321, 48614]
[23756977, 11506]
[3504996141, 55864]
[3530313095, 443]
[2846860858, 59501]
[59094251, 54984]
[1274194341, 25695]
[1264216460, 40016]
[1875764468, 28068]
[383140363, 23]
[3326272531, 23800]
[1875712509, 7527]
[2300580046, 53143]
[380663585, 5900]
[60691528, 27184]
[1099802832, 64411]
[380650507, 5900]
[22143295, 80]
[2634948018, 48278]
[17344391, 11013]
[21118889, 443]
[1264216460, 64667]
[369149267, 53413]
[2238926205, 49601]
[3720603421, 49058]
[380639234, 5900]
[2300811569, 32946]
[3547001406, 43263]
[24915537, 80]
[24109346, 443]
[383612602, 123]
[1156179191, 54732]
[1757947768, 8510]
[3674901261, 41368]
[1760528533, 9516]
[16841649, 5816]
[1760528563, 37789]
[23905767, 443]
[1797199412, 5060]
[1293431306, 46903]
[1757947768, 37059]
[380670956, 5900]
[3677652243, 65533]
[59035757, 22122]
[26502333, 30000]
[2579592503, 63358]
[1757947768, 2737]
[3328274917, 5062]
[23111664, 443]
[737992782, 61293]
[1264216460, 11278]
[721998398, 443]
[2300820751, 19]
[3710835954, 80]
[1245183198, 25534]
[380657904, 5900]
[66793284, 443]
[1274227651, 51904]
[1698222697, 50459]
[3326272512, 7665]
[3720603421, 49622]
[736932462, 443]
[380059029, 23]
[21060545, 27002]
[3326272531, 3294]
[383598489, 32740]
[3326272516, 29772]
[1875764314, 40139]
[3496895619, 44010]
[383413481, 32342]
[1264216460, 29279]
[20587394, 80]
[3326272533, 1765]
[734962816, 443]
[3327712048, 16277]
[1166237646, 13043]
[371721837, 18402]
[26681684, 80]
[2300807302, 19]
[1257176152, 15651]
[529553339, 36485]
[24938656, 8443]
[1146387161, 80]
[24068362, 50448]
[19866638, 15414]
[3376312846, 53]
[1712229195, 40967]
[724248623, 27563]
[737910149, 445]
[3327733658, 63688]
[1875712463, 64245]
[300601282, 55327]
[3530312520, 37671]
[1875712466, 8080]
[18948007, 443]
[1875764315, 64244]
[19007023, 123]
[2769831964, 57147]
[3326272533, 25337]
[2579574751, 54236]
[380661762, 5900]
[731118614, 57904]
[26707690, 38753]
[3376295623, 34331]
[1864747428, 11296]
[1225183621, 57480]
[3379124457, 39032]
[26340609, 8253]
[3326272533, 7491]
[1098657227, 54751]
[731118732, 44567]
[20587175, 80]
[19189316, 5558]
[2313301742, 80]
[19828900, 38167]
[369800645, 39102]
[2300807600, 6881]
[2450082452, 64319]
[1099822537, 49195]
[19748257, 27904]
[2579574737, 38624]
[3722030332, 80]
[2310422239, 53]
[21057503, 48860]
[3499699507, 9050]
[1264216460, 23042]
[1875764329, 8999]
[3547001406, 54387]
[373015583, 9735]
[370363001, 123]
[3327552066, 25]
[3326272515, 61181]
[19169349, 3686]
[3691473156, 53]
[864783615, 49768]
[369202549, 55623]
[1875764439, 45349]
[724248622, 31115]
[1875766748, 34541]
[23111461, 443]
[1875764328, 8999]
[2452065403, 53]
[381027070, 49902]
[3326272515, 58108]
[24111866, 443]
[1092157590, 51274]
[3547999731, 62807]
[23833352, 443]
